Plot ID,Metric,N Total,Mean,SEM,Sig Positive,Sig Negative,Total Sig,Expected Sig (5%),Chi2 Stat,P-Value,Pre-Driven (>0),Post-Driven (<0),Exact Zero,Valid N (excluding 0),Expected (50/50)
P1_Post-Stim_T-Scores,Post-Stim T-Score,2,0.11782980322042075,0.5938462676301706,0.0,0.0,0.0,0.1,0.10526315789473686,0.7456027889274615,,,,,
P2_Pre-Stim_T-Scores,Pre-Stim T-Score,2,-0.2803742710627277,0.6653564362341889,0.0,0.0,0.0,0.1,0.10526315789473686,0.7456027889274615,,,,,
P4_Diff_All,T-Score Diff (Pre - Post),2,-0.39820407428314836,1.2592027038643596,,,,,0.0,1.0,1.0,1.0,0.0,2.0,1.0
