neuron_name,electrode_code,full_location,region_abbr
times_manual_GA2-LAC3_unit_1,LAC,ctx-lh-medialorbitofrontal,FC
times_manual_GA2-LAC4_unit_1,LAC,ctx-lh-medialorbitofrontal,FC
times_manual_GA2-LAC4_unit_2,LAC,ctx-lh-medialorbitofrontal,FC
times_manual_GA2-LAC6_unit_1,LAC,ctx-lh-medialorbitofrontal,FC
times_manual_GA3-RPHG1_unit_1,RPHG,ctx-rh-parahippocampal,PHC
times_manual_GA3-RPHG2_unit_1,RPHG,ctx-rh-parahippocampal,PHC
times_manual_GA3-RPHG3_unit_1,RPHG,ctx-rh-parahippocampal,PHC
times_manual_GA3-RPHG4_unit_1,RPHG,ctx-rh-parahippocampal,PHC
times_manual_GA3-RPHG5_unit_1,RPHG,ctx-rh-parahippocampal,PHC
times_manual_GA3-RPHG5_unit_2,RPHG,ctx-rh-parahippocampal,PHC
times_manual_GA3-RPHG6_unit_1,RPHG,ctx-rh-parahippocampal,PHC
times_manual_GA4-RAH1_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH1_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH2_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH2_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH2_unit_3,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH3_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH4_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH5_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH6_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH6_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH7_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH8_unit_1,RAH,Right-Hippocampus,HPC
times_manual_GA4-RAH8_unit_2,RAH,Right-Hippocampus,HPC
times_manual_GB1-RAI2_unit_1,RAI,wm-rh-insula,INS
times_manual_GB1-RAI4_unit_1,RAI,wm-rh-insula,INS
times_manual_GB1-RAI5_unit_1,RAI,wm-rh-insula,INS
times_manual_GB1-RAI7_unit_1,RAI,wm-rh-insula,INS
times_manual_GB1-RAI8_unit_1,RAI,wm-rh-insula,INS
times_manual_GB1-RAI8_unit_2,RAI,wm-rh-insula,INS
