Plot ID,Metric,N Total,Mean,SEM,Sig Positive,Sig Negative,Total Sig,Expected Sig (5%),Chi2 Stat,P-Value,Pre-Driven (>0),Post-Driven (<0),Exact Zero,Valid N (excluding 0),Expected (50/50)
P1_Post-Stim_T-Scores,Post-Stim T-Score,16,-0.8345302765304192,0.2648462305364211,0.0,2.0,2.0,0.8,1.8947368421052628,0.16866861888781107,,,,,
P2_Pre-Stim_T-Scores,Pre-Stim T-Score,16,-0.28402390812703093,0.33802010843837677,1.0,3.0,4.0,0.8,13.473684210526319,0.00024193279086065936,,,,,
P3_Diff_SigOnly,T-Score Diff (Pre - Post),5,1.2379127012659485,1.023470707269671,,,,,0.2,0.6547208460185768,2.0,3.0,0.0,5.0,2.5
P4_Diff_All,T-Score Diff (Pre - Post),16,0.5505063684033882,0.39330509465417907,,,,,0.25,0.6170750774519739,7.0,9.0,0.0,16.0,8.0
P5_Diff_Post_GTE_1,T-Score Diff (Pre - Post),1,-0.4707667760532219,,,,,,1.0,0.31731050786291115,0.0,1.0,0.0,1.0,0.5
