experimentPhase,trialNumber,startTag,cueEndTag,endTag,startTimeUnixSec,cueEndTimeUnixSec,endTimeUnixSec,startTimeMat,cueEndTimeMat,endTimeMat,trialNumberMat,movieID,clipID,response,trialStartTimePTB,trialEndTimePTB,reactionTimePTB,frameOn,frameOff,clipStartTime,clipEndTime,clipStartTimeMs,clipEndTimeMs,clipDurationMs,clipDurationSec,clipFrameRange,clipTimeRangeMs,clipWindowId,isAccurate,trialOrder,plotOrder,includeInPlots
recog_task,1,Trial start-0-1-287,Clip end,Response-2,1711146317.0481,1711146318.16566,1711146323.44491,347.748011336,348.865537379,354.145083958,1.0,1.0,287.0,2.0,274072.329079171,274078.758811855,5.16664083098294,17417.0,17448.0,581.1218371738405,582.1561586386387,581122,582156,1034,1.034321464798154,17417-17448,581122-582156,1.0-581122-582156,1,1,1,True
recog_task,2,Trial start-0-1-600,Clip end,Response-2,1711146324.02347,1711146326.54975,1711146328.34584,354.723607485,357.249913157,359.046216073,2.0,1.0,600.0,2.0,274079.304894143,274083.660771003,1.7545044090366,44969.0,45043.0,1500.4000629195862,1502.8690883516851,1500400,1502869,2469,2.469025432098988,44969-45043,1500400-1502869,1.0-1500400-1502869,1,2,2,True
recog_task,5,Trial start-0-1-799,Clip end,Response-2,1711146336.40703,1711146338.70174,1711146339.85256,367.107415529,369.402394826,370.553493543,5.0,1.0,799.0,2.0,274091.688519346,274095.169223518,1.10127951699542,56821.0,56888.0,1895.8445145578912,1898.0799835301968,1895845,1898080,2235,2.2354689723056254,56821-56888,1895845-1898080,1.0-1895845-1898080,1,3,3,True
recog_task,7,Trial start-0-1-954,Clip end,Response-2,1711146343.43977,1711146344.8498,1711146346.14643,374.140796618,375.55088101,376.847580297,7.0,1.0,954.0,2.0,274098.721513607,274101.460401071,1.26361408701632,69724.0,69765.0,2326.355800373707,2327.723773923924,2326356,2327724,1368,1.3679735502169024,69724-69765,2326356-2327724,1.0-2326356-2327724,1,4,4,True
recog_task,8,Trial start-0-1-358,Clip end,Response-1,1711146346.72471,1711146349.63318,1711146351.73818,377.425866568,380.334441602,382.439530268,8.0,1.0,358.0,1.0,274102.006427298,274107.052934704,2.07198104599956,24253.0,24339.0,809.2064027660995,812.0758107007008,809206,812076,2870,2.869407934601327,24253-24339,809206-812076,1.0-809206-812076,0,5,42,True
recog_task,9,Trial start-0-1-535,Clip end,Response-2,1711146352.31711,1711146357.38595,1711146358.55383,383.018476044,388.087342665,389.255482653,9.0,1.0,535.0,2.0,274107.599836551,274113.867897102,1.13490469998214,39475.0,39625.0,1317.091607190524,1322.0963884718053,1317092,1322096,5004,5.004781281281339,39475-39625,1317092-1322096,1.0-1317092-1322096,1,6,5,True
recog_task,11,Trial start-0-1-835,Clip end,Response-2,1711146361.81667,1711146364.03777,1711146365.06567,392.518382232,394.739406102,395.76753856,11.0,1.0,835.0,2.0,274117.100072455,274120.380052345,0.994443012983538,60262.0,60327.0,2010.654197150484,2012.8229357057057,2010654,2012823,2169,2.1687385552218075,60262-60327,2010654-2012823,1.0-2010654-2012823,1,7,6,True
recog_task,12,Trial start-0-1-173,Clip end,Response-2,1711146365.6433,1711146368.08708,1711146369.11542,396.345186183,398.788867402,399.817480067,12.0,1.0,173.0,2.0,274120.924868239,274124.430129322,0.994806517963298,9228.0,9300.0,307.89414442442444,310.2964394394395,307894,310296,2402,2.4022950150150564,9228-9300,307894-310296,1.0-307894-310296,1,8,7,True
recog_task,17,Trial start-0-1-458,Clip end,Response-2,1711146382.27513,1711146387.32388,1711146388.52472,412.977645182,418.026498905,419.227539281,17.0,1.0,458.0,2.0,274137.557835608,274143.83983499,1.16779150703223,32389.0,32539.0,1080.6657394627962,1085.6705207440775,1080666,1085671,5005,5.004781281281339,32389-32539,1080666-1085671,1.0-1080666-1085671,1,9,8,True
recog_task,21,Trial start-0-1-326,Clip end,Response-1,1711146400.13113,1711146401.82556,1711146403.81419,430.834390887,432.528781412,434.517574617,21.0,1.0,326.0,1.0,274155.414193038,274159.130168218,1.95563352899626,20854.0,20903.0,695.7980589322657,697.4329541508175,695798,697433,1635,1.6348952185518328,20854-20903,695798-697433,1.0-695798-697433,0,10,43,True
