experimentPhase,trialNumber,startTag,cueEndTag,endTag,startTimeUnixSec,cueEndTimeUnixSec,endTimeUnixSec,startTimeMat,cueEndTimeMat,endTimeMat,trialNumberMat,movieID,clipID,response,trialStartTimePTB,trialEndTimePTB,reactionTimePTB,frameOn,frameOff,clipStartTime,clipEndTime,clipStartTimeMs,clipEndTimeMs,clipDurationMs,clipDurationSec,clipFrameRange,clipTimeRangeMs,clipWindowId,isAccurate,trialOrder,plotOrder,includeInPlots
recog_task,36,Trial start,,Trial end,1700608388.21668,,1700608394.04671,1357.57691002,,1363.407276461,36.0,1.0,634.0,2.0,21450.978695779,21456.80893713,0.781723808999232,46659.0,46809.0,1556.78477445491,1561.7745484079098,1556785,1561775,4990,4.98977395299994,46659-46809,1556785-1561775,1.0-1556785-1561775,1,20,15,True
recog_task,39,Trial start,,Trial end,1700608407.23036,,1700608417.13217,1376.591302229,,1386.493631564,39.0,1.0,458.0,1.0,21469.99320723,21479.895263952,4.82980498799952,32389.0,32539.0,1080.6640103692798,1085.68378296261,1080664,1085684,5020,5.019772593330117,32389-32539,1080664-1085684,1.0-1080664-1085684,0,21,27,True
recog_task,41,Trial start,,Trial end,1700608421.50161,,1700608427.6376,1390.863121704,,1396.99941778,41.0,1.0,267.0,2.0,21484.265029238,21490.40120292,1.06715829699897,15672.0,15822.0,522.89871161528,527.90848466228,522899,527908,5009,5.009773046999953,15672-15822,522899-527908,1.0-522899-527908,1,22,16,True
recog_task,45,Trial start,,Trial end,1700608438.58019,,1700608442.59475,1407.942413604,,1411.957233985,45.0,1.0,330.0,2.0,21501.344265154,21505.358964837,1.92337280299762,21247.0,21308.0,708.909451613697,710.93935965403,708909,710939,2030,2.029908040332998,21247-21308,708909-710939,1.0-708909-710939,1,23,17,True
recog_task,48,Trial start,,Trial end,1700608455.79678,,1700608461.53012,1425.15966205,,1430.893326528,48.0,1.0,981.0,2.0,21518.561665798,21524.295129538,0.683518423000351,71634.0,71784.0,2390.0795244926603,2395.07929799266,2390080,2395079,4999,4.999773499999719,71634-71784,2390080-2395079,1.0-2390080-2395079,1,24,18,True
recog_task,50,Trial start,,Trial end,1700608465.94718,,1700608468.49196,1435.310480117,,1437.855423087,50.0,1.0,922.0,2.0,21528.712195678,21531.25705748,1.08290222100186,66898.0,66940.0,2232.06214967069,2233.4620862500196,2232062,2233462,1400,1.399936579329733,66898-66940,2232062-2233462,1.0-2232062-2233462,1,25,19,True
recog_task,52,Trial start,,Trial end,1700608471.61933,,1700608476.26958,1440.982858158,,1445.633353971,52.0,1.0,835.0,1.0,21534.384825654,21539.035025555,2.41021418300079,60262.0,60327.0,2010.65098005105,2012.83088129638,2010651,2012831,2180,2.1799012453300293,60262-60327,2010651-2012831,1.0-2010651-2012831,0,26,28,True
recog_task,55,Trial start,,Trial end,1700608485.76886,,1700608490.11505,1455.132929854,,1459.479365289,55.0,1.0,358.0,1.0,21548.534731704,21552.881163094,1.42022838199773,24253.0,24339.0,809.205108014637,812.07497800297,809205,812075,2870,2.8698699883331074,24253-24339,809205-812075,1.0-809205-812075,0,27,29,True
recog_task,58,Trial start,,Trial end,1700608496.75248,,1700608504.19476,1466.116964921,,1473.559556245,58.0,1.0,650.0,2.0,21559.518752555,21566.96165111,4.59892873999706,48037.0,48120.0,1602.7619582608,1605.52183323213,1602762,1605522,2760,2.759874971329964,48037-48120,1602762-1605522,1.0-1602762-1605522,1,28,20,True
recog_task,59,Trial start,,Trial end,1700608504.24157,,1700608507.00238,1473.60627944,,1476.36733297,59.0,1.0,42.0,2.0,21567.008192696,21569.769131491,1.88917763799691,2251.0,2275.0,75.10496425765669,75.89492846999003,75105,75895,790,0.789964212333345,2251-2275,75105-75895,1.0-75105-75895,1,29,21,True
