neuron_name,electrode_code,full_location,region_abbr
times_manual_GA1-RMH1_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH1_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH2_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH2_unit_2,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH6_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH7_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA1-RMH8_unit_1,RMH,Right-Hippocampus,HPC
times_manual_GA3-LA3_unit_1,LA,Left-Amygdala,AMY
times_manual_GA3-LA4_unit_1,LA,Left-Amygdala,AMY
times_manual_GA3-LA5_unit_1,LA,Left-Amygdala,AMY
times_manual_GA3-LA5_unit_2,LA,Left-Amygdala,AMY
times_manual_GA3-LA6_unit_1,LA,Left-Amygdala,AMY
times_manual_GA3-LA7_unit_1,LA,Left-Amygdala,AMY
times_manual_GA3-LA8_unit_1,LA,Left-Amygdala,AMY
times_manual_GB1-LMH2_unit_1,LMH,Left-Hippocampus,HPC
times_manual_GB1-LMH2_unit_2,LMH,Left-Hippocampus,HPC
times_manual_GB1-LMH3_unit_1,LMH,Left-Hippocampus,HPC
times_manual_GB1-LMH3_unit_2,LMH,Left-Hippocampus,HPC
times_manual_GB1-LMH6_unit_1,LMH,Left-Hippocampus,HPC
times_manual_GB1-LMH7_unit_1,LMH,Left-Hippocampus,HPC
times_manual_GB1-LMH8_unit_1,LMH,Left-Hippocampus,HPC
times_manual_GB1-LMH8_unit_2,LMH,Left-Hippocampus,HPC
times_manual_GB2-LFSG1_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG2_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG3_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG3_unit_2,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG4_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG5_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG5_unit_2,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG6_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG6_unit_2,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG6_unit_3,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG7_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG8_unit_1,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG8_unit_2,LFSG,ctx-lh-fusiform,FUS
times_manual_GB2-LFSG8_unit_3,LFSG,ctx-lh-fusiform,FUS
times_manual_GB3-LSTG1_unit_1,LSTG,ctx-lh-superiortemporal,LTC
times_manual_GB3-LSTG3_unit_1,LSTG,ctx-lh-superiortemporal,LTC
times_manual_GB3-LSTG4_unit_1,LSTG,ctx-lh-superiortemporal,LTC
times_manual_GB3-LSTG4_unit_2,LSTG,ctx-lh-superiortemporal,LTC
times_manual_GB3-LSTG5_unit_1,LSTG,ctx-lh-superiortemporal,LTC
times_manual_GB3-LSTG6_unit_1,LSTG,ctx-lh-superiortemporal,LTC
times_manual_GB3-LSTG8_unit_1,LSTG,ctx-lh-superiortemporal,LTC
times_manual_GC1-LAC6_unit_1,LAC,ctx-lh-rostralanteriorcingulate,CC
times_manual_GC2-LOF1_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF1_unit_2,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF1_unit_3,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF2_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF2_unit_2,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF2_unit_3,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF2_unit_4,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF3_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF3_unit_2,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF4_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF5_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF5_unit_2,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF6_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF6_unit_2,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF6_unit_3,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF7_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF7_unit_2,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF8_unit_1,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF8_unit_2,LOF,ctx-lh-superiorfrontal,FC
times_manual_GC2-LOF8_unit_3,LOF,ctx-lh-superiorfrontal,FC
