pID,trial_num,movie_ID,target_movie,frame_on,frame_off,unq_frame_id,clip_ID,mov_clip_ID,clip_duration_sec,resp_answer,reaction_time_sec,timeout,correct,mat_trial_start_sec,ttl_movie_ID,effective_movie_ID,start_unix_sec,clip_end_unix_sec,ttl_minus_final_sec,local_shift_sec,exclude,experimentPhase,trialNumber,movieID,clipID,response,reactionTimePTB,trialStartTimePTB,frameOn,frameOff,Accurate,clipStartTime,clipEndTime,clipStartTimeMs,clipEndTimeMs,clipDurationMs,clipDurationSec,clipFrameRange,clipTimeRangeMs,clipWindowId,isAccurate,trialOrder,plotOrder,includeInPlots
579,5.0,1,1,25229,25288,1-25229-25288,368,1-368,1.9630937496666547,2,1.512981414794922,0,1,1734057658.2180693,1,1,1734028985.7003047,1734028987.6633985,,-0.01603125,False,recog_task,5.0,1,368,2,1.512981414794922,1734057658.2180693,25229,25288,1,842.625029362696,844.5955742409076,842625,844596,1971,1.9705448782116264,25229-25288,842625-844596,1-842625-844596,1,1,1,True
579,10.0,1,1,4045,4130,1-4045-4130,79,1-79,2.811843749333349,2,0.9875237941741944,0,1,1734057680.404002,1,1,1734029007.8790767,1734029010.6909204,,-0.0231875,False,recog_task,10.0,1,79,2,0.9875237941741944,1734057680.404002,4045,4130,1,135.0992208875542,137.93814147480813,135099,137938,2839,2.838920587253938,4045-4130,135099-137938,1-135099-137938,1,2,2,True
579,11.0,1,1,32389,32449,1-32389-32449,458,1-458,1.9951249993332567,2,1.1425318717956543,0,1,1734057684.7682014,1,1,1734029012.233919,1734029014.2290435,,-0.0325625,False,recog_task,11.0,1,458,2,1.1425318717956543,1734057684.7682014,32389,32449,1,1081.7623400066734,1083.7662839506172,1081762,1083766,2004,2.0039439439437956,32389-32449,1081762-1083766,1-1081762-1083766,1,3,3,True
579,12.0,1,1,54846,54877,1-54846-54877,755,1-755,1.030562500000087,2,1.410398244857788,0,1,1734057688.4638207,1,1,1734029015.936605,1734029016.9671674,,-0.02546875,False,recog_task,12.0,1,755,2,1.410398244857788,1734057688.4638207,54846,54877,1,1831.805159159159,1832.8405301968635,1831805,1832841,1036,1.035371037704408,54846-54877,1831805-1832841,1-1831805-1832841,1,4,4,True
579,13.0,1,1,48037,48120,1-48037-48120,650,1-650,2.778687499333273,2,1.3578453063964844,0,1,1734057691.4625905,1,1,1734029018.953323,1734029021.7320104,,-0.00753125,False,recog_task,13.0,1,650,2,1.3578453063964844,1734057691.4625905,48037,48120,1,1604.3909205872537,1607.163043043043,1604391,1607163,2772,2.7721224557892583,48037-48120,1604391-1607163,1-1604391-1607163,1,5,5,True
579,14.0,1,1,53217,53241,1-53217-53241,733,1-733,0.81378124999992,2,1.659055471420288,0,1,1734057696.167719,1,1,1734029023.653446,1734029024.4672272,,-0.01253125,False,recog_task,14.0,1,733,2,1.659055471420288,1734057696.167719,53217,53241,1,1777.398081081081,1778.1996586586586,1777398,1778200,802,0.8015775775775182,53217-53241,1777398-1778200,1-1777398-1778200,1,6,6,True
579,15.0,1,1,39475,39565,1-39475-39565,535,1-535,3.011218749333466,2,1.0325090885162354,0,1,1734057699.1992488,1,1,1734029026.6679752,1734029029.679194,,-0.02953125,False,recog_task,15.0,1,535,2,1.0325090885162354,1734057699.1992488,39475,39565,1,1318.4281197864532,1321.434035702369,1318428,1321434,3006,3.0059159159159208,39475-39565,1318428-1321434,1-1318428-1321434,1,7,7,True
579,16.0,1,1,17417,17448,1-17417-17448,287,1-287,1.030749999666682,2,0.9286046028137208,0,1,1734057703.7989762,1,1,1734029031.2632554,1734029032.2940054,,-0.034,False,recog_task,16.0,1,287,2,0.9286046028137208,1734057703.7989762,17417,17448,1,581.7115278611946,582.746898898899,581712,582747,1035,1.035371037704408,17417-17448,581712-582747,1-581712-582747,1,8,8,True
579,17.0,1,1,72238,72273,1-72238-72273,990,1-990,1.1644374993334168,2,1.0381741523742676,0,1,1734057706.3403535,1,1,1734029033.8225358,1734029034.9869733,,-0.01609375,False,recog_task,17.0,1,990,2,1.0381741523742676,1734057706.3403535,72238,72273,1,2412.6817103770436,2413.8506776776776,2412682,2413851,1169,1.1689673006339945,72238-72273,2412682-2413851,1-2412682-2413851,1,9,9,True
579,20.0,1,1,18474,18564,1-18474-18564,300,1-300,2.979000000000042,2,2.27890682220459,0,1,1734057719.8561866,1,1,1734029047.3300295,1734029050.3090298,,-0.0244375,False,recog_task,20.0,1,300,2,2.27890682220459,1734057719.8561866,18474,18564,1,617.0143403403404,620.0202562562563,617014,620020,3006,3.0059159159159208,18474-18564,617014-620020,1-617014-620020,1,10,10,True
579,25.0,1,1,56821,56888,1-56821-56888,799,1-799,2.2202499993331912,2,0.9181139469146729,0,1,1734057750.8251188,1,1,1734029078.3122988,1734029080.532549,,-0.01109375,False,recog_task,25.0,1,799,2,0.9181139469146729,1734057750.8251188,56821,56888,1,1897.7683139806472,1900.006051384718,1897768,1900006,2238,2.2377374040706854,56821-56888,1897768-1900006,1-1897768-1900006,1,11,11,True
579,28.0,1,1,52613,52664,1-52613-52664,723,1-723,1.6925937496666847,2,3.106983184814453,0,1,1734057770.8708773,1,1,1734029098.3400722,1734029100.032666,,-0.0290625,False,recog_task,28.0,1,723,2,3.106983184814453,1734057770.8708773,52613,52664,1,1757.225045378712,1758.9283977310643,1757225,1758928,1703,1.70335235235234,52613-52664,1757225-1758928,1-1757225-1758928,1,12,12,True
579,31.0,1,1,62359,62425,1-62359-62425,867,1-867,2.1947812493331185,2,1.1343960762023926,0,1,1734057783.6940322,1,1,1734029111.1722858,1734029113.367067,,-0.02,False,recog_task,31.0,1,867,2,1.1343960762023926,1734057783.6940322,62359,62425,1,2082.732340006673,2084.936678345012,2082732,2084937,2205,2.2043383383388573,62359-62425,2082732-2084937,1-2082732-2084937,1,13,13,True
579,32.0,1,1,66898,66940,1-66898-66940,922,1-922,1.3958749993330457,2,2.4129509925842285,0,1,1734057787.5734324,1,1,1734029115.0558777,1734029116.451753,,-0.0158125,False,recog_task,32.0,1,922,2,2.4129509925842285,1734057787.5734324,66898,66940,1,2234.3306993660326,2235.7334601267935,2234331,2235733,1402,1.4027607607608843,66898-66940,2234331-2235733,1-2234331-2235733,1,14,14,True
579,33.0,1,1,6292,6358,1-6292-6358,126,1-126,2.1969374993333304,2,1.5906033515930176,0,1,1734057791.9459708,1,1,1734029119.4112508,1734029121.6081884,,-0.033,False,recog_task,33.0,1,126,2,1.5906033515930176,1734057791.9459708,6292,6358,1,210.1469215882549,212.35125992659326,210147,212351,2204,2.2043383383383457,6292-6358,210147-212351,1-210147-212351,1,15,15,True
579,34.0,1,1,70410,70444,1-70410-70444,964,1-964,1.1293124999997417,2,0.9934980869293212,0,1,1734057796.3013842,1,1,1734029123.772967,1734029124.90228,,-0.0266875,False,recog_task,34.0,1,964,2,0.9934980869293212,1734057796.3013842,70410,70444,1,2351.628218218218,2352.76378645312,2351628,2352764,1136,1.1355682349017115,70410-70444,2351628-2352764,1-2351628-2352764,1,16,16,True
579,35.0,1,1,27249,27294,1-27249-27294,394,1-394,1.4949687499999982,2,1.5744366645812988,0,1,1734057798.9737816,1,1,1734029126.448154,1734029127.9431226,,-0.02390625,False,recog_task,35.0,1,394,2,1.5744366645812988,1734057798.9737816,27249,27294,1,910.0911421421421,911.5941001001,910091,911594,1503,1.5029579579579604,27249-27294,910091-911594,1-910091-911594,1,17,17,True
579,36.0,1,1,5403,5458,1-5403-5458,107,1-107,1.829468749999989,2,1.3548460006713867,0,1,1734057802.6057458,1,1,1734029130.0770278,1734029131.9064963,,-0.027,False,recog_task,36.0,1,107,2,1.3548460006713867,1734057802.6057458,5403,5458,1,180.45515215215215,182.2921007674341,180455,182292,1837,1.8369486152819547,5403-5458,180455-182292,1-180455-182292,1,18,18,True
579,37.0,1,1,56083,56147,1-56083-56147,783,1-783,2.1299062493333167,2,0.8834574222564697,0,1,1734057806.37416,1,1,1734029133.852151,1734029135.982057,,-0.02028125,False,recog_task,37.0,1,783,2,0.8834574222564697,1734057806.37416,56083,56147,1,1873.1198034701365,1875.2573436770103,1873120,1875257,2137,2.1375402068738367,56083-56147,1873120-1875257,1-1873120-1875257,1,19,19,True
579,38.0,1,1,29932,29957,1-29932-29957,429,1-429,0.809531249333304,2,1.0223231315612793,0,1,1734057813.3201592,1,1,1734029140.7977738,1734029141.607305,,-0.02065625,False,recog_task,38.0,1,429,2,1.0223231315612793,1734057813.3201592,29932,29957,1,999.7008355021687,1000.5358121454788,999701,1000536,835,0.8349766433100285,29932-29957,999701-1000536,1-999701-1000536,1,20,20,True
579,46.0,1,1,61669,61731,1-61669-61731,857,1-857,2.061749999333188,2,1.9407544136047363,0,1,1734057845.7257233,1,1,1734029173.2202609,1734029175.2820108,,-0.00371875,False,recog_task,46.0,1,857,2,1.9407544136047363,1734057845.7257233,61669,61731,1,2059.686984651318,2061.7577267267266,2059687,2061758,2071,2.0707420754083614,61669-61731,2059687-2061758,1-2059687-2061758,1,21,21,True
579,47.0,1,1,2780,2802,1-2780-2802,54,1-54,0.6919062496666726,2,0.8760864734649658,0,1,1734057850.3256965,1,1,1734029177.8484151,1734029178.5403214,,0.0244375,False,recog_task,47.0,1,54,2,0.8760864734649658,1734057850.3256965,2780,2802,1,92.8494027360694,93.58418218218219,92849,93584,735,0.7347794461127961,2780-2802,92849-93584,1-92849-93584,1,22,22,True
579,49.0,1,1,43362,43420,1-43362-43420,574,1-574,1.929281250000031,2,0.8197689056396484,0,1,1734057856.695113,1,1,1734029184.1666622,1734029186.0959437,,-0.02671875,False,recog_task,49.0,1,574,2,0.8197689056396484,1734057856.695113,43362,43420,1,1448.2502882882882,1450.1874341007674,1448250,1450187,1937,1.9371458124792298,43362-43420,1448250-1450187,1-1448250-1450187,1,23,23,True
579,51.0,1,1,42376,42432,1-42376-42432,560,1-560,1.8625937493332003,2,2.134906530380249,0,1,1734057866.2689075,1,1,1734029193.732408,1734029195.5950017,,-0.03478125,False,recog_task,51.0,1,560,2,2.134906530380249,1734057866.2689075,42376,42432,1,1415.3188094761429,1417.189157157157,1415319,1417189,1870,1.8703476810142092,42376-42432,1415319-1417189,1-1415319-1417189,1,24,24,True
579,52.0,1,1,8840,8926,1-8840-8926,167,1-167,2.861124999666629,2,1.1482603549957275,0,1,1734057870.815837,1,1,1734029198.2786572,1734029201.1397822,,-0.0354375,False,recog_task,52.0,1,167,2,1.1482603549957275,1734057870.815837,8840,8926,1,295.24774107440777,298.12006072739405,295248,298120,2872,2.8723196529862776,8840-8926,295248-298120,1-295248-298120,1,25,25,True
579,53.0,1,1,64904,64964,1-64904-64964,898,1-898,1.9965624986666624,2,1.2498207092285156,0,1,1734057875.392822,1,1,1734029202.8699052,1734029204.8664677,,-0.0211875,False,recog_task,53.0,1,898,2,1.2498207092285156,1734057875.392822,64904,64964,1,2167.732962295629,2169.736906239573,2167733,2169737,2004,2.0039439439437956,64904-64964,2167733-2169737,1-2167733-2169737,1,26,26,True
579,56.0,1,1,46334,46369,1-46334-46369,627,1-627,1.16337499966653,2,0.7957308292388916,0,1,1734057895.082926,1,1,1734029222.5501783,1734029223.7135534,,-0.031,False,recog_task,56.0,1,627,2,0.7957308292388916,1734057895.082926,46334,46369,1,1547.5123116449781,1548.6812789456121,1547512,1548681,1169,1.1689673006339945,46334-46369,1547512-1548681,1-1547512-1548681,1,27,27,True
579,57.0,1,1,17581,17668,1-17581-17668,290,1-290,2.8954999993333104,2,1.0309865474700928,0,1,1734057897.614338,1,1,1734029225.0792398,1734029227.9747398,,-0.033375,False,recog_task,57.0,1,290,2,1.0309865474700928,1734057897.614338,17581,17668,1,587.1889746413079,590.0946933600267,587189,590095,2906,2.905718718718731,17581-17668,587189-590095,1-587189-590095,1,28,28,True
579,58.0,1,1,21247,21308,1-21247-21308,330,1-330,2.0288437493334186,1,2.26363754272461,0,0,1734057902.0943515,1,1,1734029229.5622067,1734029231.5910504,,-0.03040625,False,recog_task,58.0,1,330,1,2.26363754272461,1734057902.0943515,21247,21308,0,709.6299496162829,711.6672926259592,709630,711667,2037,2.037343009676306,21247-21308,709630-711667,1-709630-711667,0,29,67,True
579,60.0,1,1,46659,46719,1-46659-46719,634,1-634,1.995875000000069,2,0.7421767711639404,0,1,1734057909.4421418,1,1,1734029236.9167662,1734029238.912641,,-0.02365625,False,recog_task,60.0,1,634,2,0.7421767711639404,1734057909.4421418,46659,46719,1,1558.3670080080078,1560.3709519519518,1558367,1560371,2004,2.003943943944023,46659-46719,1558367-1560371,1-1558367-1560371,1,30,29,True
579,62.0,1,1,6862,6934,1-6862-6934,133,1-133,2.393312499333348,2,1.1020915508270264,0,1,1734057916.4142745,1,1,1734029243.8790443,1734029246.272357,,-0.0335,False,recog_task,62.0,1,133,2,1.1020915508270264,1734057916.4142745,6862,6934,1,229.18438905572236,231.5891217884551,229184,231589,2405,2.4047327327327253,6862-6934,229184-231589,1-229184-231589,1,31,30,True
579,63.0,1,1,1337,1426,1-1337-1426,24,1-24,2.975499999666667,1,1.238279104232788,0,0,1734057920.4701626,1,1,1734029247.9271684,1734029250.9026685,,-0.04125,False,recog_task,63.0,1,24,1,1.238279104232788,1734057920.4701626,1337,1426,0,44.65455088421755,47.627067734401066,44655,47627,2972,2.972516850183517,1337-1426,44655-47627,1-44655-47627,0,32,68,True
579,68.0,1,1,41110,41170,1-41110-41170,548,1-548,1.9951249993332567,2,1.535433053970337,0,1,1734057950.262313,1,1,1734029277.731969,1734029279.7270942,,-0.028625,False,recog_task,68.0,1,548,2,1.535433053970337,1734057950.262313,41110,41170,1,1373.0355922589256,1375.0395362028694,1373036,1375040,2004,2.0039439439437956,41110-41170,1373036-1375040,1-1373036-1375040,1,33,31,True
579,69.0,1,1,50848,50933,1-50848-50933,694,1-694,2.8273124993334022,2,0.5336461067199707,0,1,1734057954.3532383,1,1,1734029281.8182168,1734029284.6455293,,-0.03328125,False,recog_task,69.0,1,694,2,0.5336461067199707,1734057954.3532383,50848,50933,1,1698.2756943610275,1701.1146149482815,1698276,1701115,2839,2.8389205872540515,50848-50933,1698276-1701115,1-1698276-1701115,1,34,32,True
