experimentPhase,trialNumber,startTag,cueEndTag,endTag,startTimeUnixSec,cueEndTimeUnixSec,endTimeUnixSec,startTimeMat,cueEndTimeMat,endTimeMat,trialNumberMat,movieID,clipID,response,trialStartTimePTB,trialEndTimePTB,reactionTimePTB,frameOn,frameOff,clipStartTime,clipEndTime,clipStartTimeMs,clipEndTimeMs,clipDurationMs,clipDurationSec,clipFrameRange,clipTimeRangeMs,clipWindowId,isAccurate,trialOrder,plotOrder,includeInPlots
recog_task,49,Trial start-0-1-458,Clip end,Response-2,1721751133.422,1721751135.49881,1721751138.51916,302.484576713,304.561308224,307.581959248,49.0,1.0,458.0,2.0,1358964.68908065,1358969.8186908,2.98679748503491,32389.0,32449.0,1080.6644426059393,1082.6663527160495,1080664,1082666,2002,2.0019101101102024,32389-32449,1080664-1082666,1.0-1080664-1082666,1,26,14,True
recog_task,51,Trial start-0-1-666,Clip end,Response-2,1721751144.17287,1721751147.21678,1721751149.08456,313.235836907,316.27975235,318.147794963,51.0,1.0,666.0,2.0,1358975.43983177,1358980.38445113,1.83431564690545,49083.0,49173.0,1637.6625655755754,1640.6654307407407,1637663,1640665,3002,3.0028651651653036,49083-49173,1637663-1640665,1.0-1637663-1640665,1,27,15,True
recog_task,53,Trial start-0-1-852,Clip end,Response-1,1721751155.90312,1721751156.90143,1721751162.03408,324.966573976,325.964770515,331.097805557,53.0,1.0,852.0,1.0,1358987.17045883,1358993.33464952,5.09972230484709,61477.0,61505.0,2051.190463987321,2052.124688705372,2051190,2052125,935,0.9342247180511549,61477-61505,2051190-2052125,1.0-2051190-2052125,0,28,55,True
recog_task,60,Trial start-0-1-688,Clip end,Response-2,1721751196.13185,1721751197.65804,1721751199.29447,365.196870806,366.723105614,368.359710085,60.0,1.0,688.0,2.0,1359027.40064846,1359030.59581233,1.60319914994761,50448.0,50492.0,1683.2060205805806,1684.6740879946615,1683206,1684674,1468,1.468067414080906,50448-50492,1683206-1684674,1.0-1683206-1684674,1,29,16,True
recog_task,64,Trial start-0-1-24,Clip end,Response-2,1721751223.7215,1721751226.76006,1721751229.9054,392.787591251,395.826085732,398.971730383,64.0,1.0,24.0,2.0,1359054.99139355,1359061.20900878,3.11178621603176,1337.0,1426.0,44.60923028695362,47.57873028361695,44609,47579,2970,2.9694999966633304,1337-1426,44609-47579,1.0-44609-47579,1,30,17,True
recog_task,65,Trial start-0-1-58,Clip end,Response-2,1721751230.48727,1721751231.31084,1721751237.89302,399.553629612,400.377070009,406.959743432,65.0,1.0,58.0,2.0,1359061.75739043,1359069.19697213,6.54947117809206,3066.0,3089.0,102.29760662662663,103.06500550216883,102298,103065,767,0.7673988755421988,3066-3089,102298-103065,1.0-102298-103065,1,31,18,True
recog_task,66,Trial start-0-1-705,Clip end,Response-0,1721751238.47515,1721751240.54471,1721751250.6007,407.541807034,409.61131302,419.667838569,66.0,1.0,705.0,0.0,1359069.74565218,1359081.90467996,10.0223038080148,51575.0,51635.0,1720.8085654821487,1722.810475592259,1720809,1722810,2001,2.0019101101104297,51575-51635,1720809-1722810,1.0-1720809-1722810,0,32,56,True
recog_task,67,Trial start-0-1-264,Clip end,Response-2,1721751251.18283,1721751252.63064,1721751255.17836,420.250003396,421.697732153,424.245752177,67.0,1.0,264.0,2.0,1359082.45375369,1359086.4824155,2.51482074311934,15549.0,15591.0,518.795005035035,520.1963421121121,518795,520196,1401,1.4013370770770734,15549-15591,518795-520196,1.0-518795-520196,1,33,19,True
recog_task,70,Trial start-0-1-799,Clip end,Response-0,1721751272.79985,1721751275.08076,1721751285.13578,441.867854058,444.148859975,454.204249685,70.0,1.0,799.0,0.0,1359104.07164624,1359116.4416876,10.0219461768866,56821.0,56888.0,1895.842239442776,1898.077705732399,1895842,1898078,2236,2.235466289622991,56821-56888,1895842-1898078,1.0-1895842-1898078,0,34,57,True
recog_task,72,Trial start-0-1-709,Clip end,Response-0,1721751289.7185,1721751292.78472,1721751302.83771,458.787167104,461.853353433,471.906868398,72.0,1.0,709.0,0.0,1359120.99120051,1359134.14417408,10.0197807769291,51885.0,51975.0,1731.1517677177176,1734.1546328828829,1731152,1734155,3003,3.0028651651653036,51885-51975,1731152-1734155,1.0-1731152-1734155,0,35,58,True
